Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,D,D_SOD-123,75.184,-57.404,-90.0,top
D10,D,D_SOD-123,218.755,-105.664,-90.0,top
D11,D,D_SOD-123,266.612,-105.664,-90.0,top
D12,D,D_SOD-123,314.469,-105.792,-90.0,top
D13,D,D_SOD-123,75.184,-154.052,-90.0,top
D14,D,D_SOD-123,123.041,-154.052,-90.0,top
D15,D,D_SOD-123,170.898,-154.052,-90.0,top
D16,D,D_SOD-123,218.755,-154.178,-90.0,top
D17,D,D_SOD-123,266.612,-154.178,-90.0,top
D18,D,D_SOD-123,314.469,-154.052,-90.0,top
D19,D,D_SOD-123,75.184,-202.438,-90.0,top
D2,D,D_SOD-123,123.041,-57.404,-90.0,top
D20,D,D_SOD-123,123.041,-202.438,-90.0,top
D21,D,D_SOD-123,170.898,-202.438,-90.0,top
D22,D,D_SOD-123,218.755,-202.438,-90.0,top
D23,D,D_SOD-123,266.612,-202.438,-90.0,top
D24,D,D_SOD-123,314.452,-202.438,-90.0,top
D25,D,D_SOD-123,75.184,-250.698,-90.0,top
D26,D,D_SOD-123,123.041,-250.698,-90.0,top
D27,D,D_SOD-123,170.898,-250.698,-90.0,top
D28,D,D_SOD-123,218.694,-250.698,-90.0,top
D29,D,D_SOD-123,266.612,-250.698,-90.0,top
D3,D,D_SOD-123,170.898,-57.404,-90.0,top
D30,D,D_SOD-123,314.469,-250.826,-90.0,top
D4,D,D_SOD-123,218.755,-57.404,-90.0,top
D5,D,D_SOD-123,266.612,-57.404,-90.0,top
D6,D,D_SOD-123,314.452,-57.404,-90.0,top
D7,D,D_SOD-123,75.184,-105.664,-90.0,top
D8,D,D_SOD-123,123.041,-105.664,-90.0,top
D9,D,D_SOD-123,170.898,-105.664,-90.0,top
SW1,CherryMX,CherryMX_1.00u,77.447,-75.198,-90.0,top
SW10,CherryMX,CherryMX_1.00u,221.018,-123.531,-90.0,top
SW11,CherryMX,CherryMX_1.00u,268.875,-123.531,-90.0,top
SW12,CherryMX,CherryMX_1.00u,316.732,-123.531,-90.0,top
SW13,CherryMX,CherryMX_1.00u,77.447,-171.864,-90.0,top
SW14,CherryMX,CherryMX_1.00u,125.304,-171.864,-90.0,top
SW15,CherryMX,CherryMX_1.00u,173.161,-171.864,-90.0,top
SW16,CherryMX,CherryMX_1.00u,221.018,-171.864,-90.0,top
SW17,CherryMX,CherryMX_1.00u,268.875,-171.864,-90.0,top
SW18,CherryMX,CherryMX_1.00u,316.732,-171.864,-90.0,top
SW19,CherryMX,CherryMX_1.00u,77.447,-220.197,-90.0,top
SW2,CherryMX,CherryMX_1.00u,125.304,-75.198,-90.0,top
SW20,CherryMX,CherryMX_1.00u,125.304,-220.197,-90.0,top
SW21,CherryMX,CherryMX_1.00u,173.161,-220.197,-90.0,top
SW22,CherryMX,CherryMX_1.00u,221.018,-220.197,-90.0,top
SW23,CherryMX,CherryMX_1.00u,268.875,-220.197,-90.0,top
SW24,CherryMX,CherryMX_1.00u,316.732,-220.197,-90.0,top
SW25,CherryMX,CherryMX_1.00u,77.447,-268.53,-90.0,top
SW26,CherryMX,CherryMX_1.00u,125.304,-268.53,-90.0,top
SW27,CherryMX,CherryMX_1.00u,173.161,-268.53,-90.0,top
SW28,CherryMX,CherryMX_1.00u,221.018,-268.53,-90.0,top
SW29,CherryMX,CherryMX_1.00u,268.875,-268.53,-90.0,top
SW3,CherryMX,CherryMX_1.00u,173.161,-75.198,-90.0,top
SW30,CherryMX,CherryMX_1.00u,316.732,-268.53,-90.0,top
SW4,CherryMX,CherryMX_1.00u,221.018,-75.198,-90.0,top
SW5,CherryMX,CherryMX_1.00u,268.875,-75.198,-90.0,top
SW6,CherryMX,CherryMX_1.00u,316.732,-75.198,-90.0,top
SW7,CherryMX,CherryMX_1.00u,77.447,-123.531,-90.0,top
SW8,CherryMX,CherryMX_1.00u,125.304,-123.531,-90.0,top
SW9,CherryMX,CherryMX_1.00u,173.161,-123.531,-90.0,top
U1,XIAO-SMD,XIAO-nRF52840-SMD,327.4727,-244.8835,-90.0,top
